order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
50712,20304,502,2,100.0,50.0
50713,20304,1014,5,249.9,49.98
50714,20305,502,3,150.0,50.0
50715,20306,1014,3,149.94,49.98
50716,20306,502,3,150.0,50.0
50717,20306,365,1,59.99,59.99
50718,20307,365,2,119.98,59.99
50719,20307,502,3,150.0,50.0
50720,20308,403,1,129.99,129.99
50721,20309,957,1,299.98,299.98
50722,20309,1014,5,249.9,49.98
50723,20309,365,4,239.96,59.99
50724,20310,191,3,299.97,99.99
50725,20311,502,5,250.0,50.0
50726,20312,1004,1,399.98,399.98
50727,20312,403,1,129.99,129.99
50728,20312,365,5,299.95,59.99
50729,20314,1014,3,149.94,49.98
50730,20315,403,1,129.99,129.99
50731,20316,403,1,129.99,129.99
50732,20317,365,4,239.96,59.99
50733,20317,627,3,119.97,39.99
50734,20318,1073,1,199.99,199.99
50735,20319,191,2,199.98,99.99
50736,20319,365,4,239.96,59.99
50737,20320,1014,4,199.92,49.98
50738,20320,1014,2,99.96,49.98
50739,20320,1004,1,399.98,399.98
50740,20320,403,1,129.99,129.99
50741,20321,1073,1,199.99,199.99
50742,20321,365,3,179.97,59.99
50743,20321,1004,1,399.98,399.98
50744,20322,365,1,59.99,59.99
50745,20322,1014,2,99.96,49.98
50746,20324,135,1,22.0,22.0
50747,20324,1014,5,249.9,49.98
50748,20324,1004,1,399.98,399.98
50749,20325,365,1,59.99,59.99
50750,20325,957,1,299.98,299.98
50751,20325,957,1,299.98,299.98
50752,20326,191,4,399.96,99.99
50753,20326,403,1,129.99,129.99
50754,20326,957,1,299.98,299.98
50755,20326,1004,1,399.98,399.98
50756,20326,1014,4,199.92,49.98
50757,20327,502,5,250.0,50.0
50758,20328,627,2,79.98,39.99
50759,20328,1004,1,399.98,399.98
50760,20328,1073,1,199.99,199.99
50761,20328,365,2,119.98,59.99
50762,20328,1073,1,199.99,199.99
50763,20329,191,1,99.99,99.99
50764,20330,821,5,259.95,51.99
50765,20330,502,3,150.0,50.0
50766,20330,1073,1,199.99,199.99
50767,20331,885,1,24.99,24.99
50768,20331,191,3,299.97,99.99
50769,20331,365,3,179.97,59.99
50770,20331,1014,4,199.92,49.98
50771,20332,93,2,49.98,24.99
50772,20332,957,1,299.98,299.98
50773,20332,1073,1,199.99,199.99
50774,20333,1014,2,99.96,49.98
50775,20334,191,4,399.96,99.99
50776,20334,365,5,299.95,59.99
50777,20334,1014,1,49.98,49.98
50778,20334,403,1,129.99,129.99
50779,20334,1073,1,199.99,199.99
50780,20335,1004,1,399.98,399.98
50781,20335,793,2,29.98,14.99
50782,20335,502,1,50.0,50.0
50783,20335,502,1,50.0,50.0
50784,20336,365,1,59.99,59.99
